<Trait>	test
B001	13.33049678
B002	10.09143539
B003	18.37941644
B004	16.02758208
B005	8.139551352
B006	12.12960501
B007	17.4252241
B009	16.4592555
B010	8.087462841
B011	10.45224124
B012	14.32340666
B013	13.45133992
B015	11.436191
B016	14.44482078
B020	8.139551352
B021	9.719388821
B022	NaN
B023	15.94308711
B024	9.11113567
B025	15.17137229
B026	NaN
B027	NaN
B028	13.82386477
B030	15.72869115
B031	16.18883994
B032	11.8061468
B034	12.64633369
B037	9.11113567
B038	NaN
B039	11.30549179
B040	13.71005304
B041	11.91849059
B042	13.24688902
B043	11.93700593
B045	8.139551352
B046	11.57978733
B047	8.139551352
B048	11.11699368
B049	12.18951573
B050	NaN
B051	11.27670602
B052	10.4419067
B053	8.033423002
B054	10.93737382
B055	9.686500527
B056	10.69783636
B057	11.71037597
B058	8.011227255
B059	9.13442632
B060	9.11113567
B061	12.70800613
B062	12.58190669
B063	12.19260105
B064	8.139551352
B065	15.87989431
B066	8.087462841
B067	11.27670602
B068	11.92962828
B069	8.139551352
B070	10.1176431
B071	8.027905997
B073	8.139551352
B074	9.084808388
B075	NaN
B076	10.92999806
B078	12.97315921
B079	14.56277904
B080	17.41700364
B081	8.087462841
B083	NaN
B085	16.03834032
B089	11.29404631
B090	11.92962828
B091	NaN
B092	11.71037597
B093	14.72072522
B094	13.02600464
B096	13.77324225
B097	9.702172685
B098	10.71510401
B100	16.17135274
B101	9.084808388
B102	NaN
B103	13.94772824
B104	11.59385794
B105	12.56771846
B108	10.13057056
B109	11.43097517
B110	10.69783636
B111	12.37748169
B112	9.016808288
B113	10.00982862
B114	9.607330314
B115	NaN
B116	8.027905997
B118	8.97441459
B119	9.529430554
B120	9.981567282
B122	NaN
B123	7.930737338
B124	7.930737338
B125	NaN
B126	7.942514505
B127	NaN
B128	8.016808288
B129	8.027905997
B131	NaN
B133	10.57080444
B134	NaN
B135	NaN
B136	NaN
B137	8.95419631
B138	NaN
B139	NaN
B140	7.924812504
B141	NaN
B143	7.930737338
B144	NaN
B145	NaN
B146	NaN
B147	9.005624549
B149	NaN
B150	8.982993575
B151	8.033423002
B152	NaN
B153	NaN
B154	NaN
B155	8.016808288
B156	NaN
B157	NaN
B158	7.930737338
B160	7.95419631
B162	10.33427329
B163	10.59898297
B164	NaN
B165	8.011227255
B166	NaN
B167	NaN
B168	8.957102042
B169	NaN
B170	9.005624549
B171	NaN
B172	NaN
B173	NaN
B174	NaN
B175	NaN
B176	NaN
B177	NaN
B179	NaN
B180	NaN
B181	8.011227255
B182	NaN
B183	9.952741247
B184	NaN
B185	8
B186	7.988684687
B187	NaN
B188	NaN
B190	NaN
B191	7.930737338
B192	NaN
B193	NaN
B194	NaN
B195	8.027905997
B196	9.016808288
B197	NaN
B198	NaN
B199	7.971543554
B200	NaN
B202	7.942514505
B203	NaN
B204	NaN
B205	NaN
B208	8.016808288
B209	9.022367813
B211	8.924812504
B212	7.95419631
B213	NaN
B214	NaN
B215	NaN
B216	NaN
B217	12.58894882
B219	16.46883084
B221	10.93737382
B224	8.139551352
B225	17.67315032
B227	11.5844928
B228	10.13057056
B229	9.719388821
B230	14.98375072
B231	NaN
B232	8.139551352
B233	NaN
B234	17.25119575
B235	14.25863964
B237	11.12992693
B238	13.88235647
B239	10.13057056
B240	11.57978733
B241	NaN
B242	NaN
B243	13.77324225
B244	9.13442632
B245	14.43182403
B246	11.59385794
B247	9.719388821
B248	11.45686774
B249	13.85340703
B251	11.12992693
B252	16.04262125
B258	12.30235333
B261	18.15561378
B262	12.3693247
B263	11.30549179
B264	10.13057056
B268	11.83407595
B269	12.83190099
B272	8.139551352
B274	14.60391606
B276	12.12960501
B277	14.52043453
B278	12.84764464
B279	11.94068065
B280	16.27323103
B281	14.76802921
B283	11.45172627
B284	15.03621655
B285	15.71534537
B286	11.59385794
B287	NaN
B288	11.29404631
B289	10.69783636
B291	13.25871324
B292	NaN
B293	11.29404631
B295	15.55677546
B297	12.37204883
B298	10.4314976
B299	11.29404631
B301	11.30549179
B302	8.087462841
B303	16.1397312
B304	10.69783636
B305	NaN
B306	12.03307881
B308	11.8181827
B310	11.28250931
B311	11.71896091
B312	10.70649602
B313	8.076815597
B314	NaN
B316	18.99921004
B317	NaN
B321	14.48940897
B323	13.62125061
B324	9.719388821
B325	10.4419067
B326	13.41217287
B328	10.93737382
B331	13.92935089
B332	8.139551352
B333	12.71660514
B334	10.45224124
B335	13.28785664
B336	10.71510401
B337	16.41205706
B338	12.65082737
B340	15.26960156
B341	15.33737799
B342	16.22507561
B343	10.4419067
B346	15.74454481
B347	13.99267285
B348	12.9909903
B349	11.82217246
B350	12.41758884
B351	NaN
B352	15.07016288
B354	12.52429684
B355	NaN
B356	13.65519528
B357	14.5508069
B358	11.58918297
B359	8.139551352
B360	15.93159165
B364	15.97255355
B365	15.10332879
B366	11.93332182
B367	12.58660526
B368	NaN
B369	14.23638798
B370	13.1310531
B373	15.61829946
B374	14.68830496
B375	15.96805924
B377	11.80211242
B378	9.13442632
B379	14.85822389
B380	13.85340703
B381	9.11113567
B382	13.67738932
B383	15.39208259
B385	13.03806162
B386	11.45172627
B389	8.139551352
B390	NaN
B391	14.35817041
B392	13.80382841
B393	16.04901893
B394	19.46762346
B395	15.50807329
B396	8.087462841
B397	13.62125061
B398	11.44656641
B400	16.41865972
B401	13.0225412
B402	14.83373016
B405	14.5508069
B406	14.16749655
B407	14.39211614
B412	8.139551352
B413	10.93737382
B415	17.44152582
B416	8.139551352
B417	10.45224124
B418	10.13057056
B419	8.139551352
B420	11.57978733
B421	NaN
B422	11.13635034
B428	9.11113567
B429	NaN
B431	12.44630793
